,grid_demand_kwh
1281,6.627704797
1282,5.040259663
1283,2.910316078
1284,2.660305606
1285,3.420046167
1286,5.520862318
1287,3.858171315
1288,7.505168735
1289,7.843775151
1290,15.02368754
1291,13.06608127
1292,11.35727183
1293,11.01987906
1294,5.139778395
1295,3.486796536
1296,2.227035031
1297,1.814396387
1298,3.072944249
1299,1.757355163
1300,1.837455606
1301,1.813182744
1302,2.969784588
1303,2.734337833
1304,2.384808629
1305,2.099602508
1306,4.854572274
1307,4.556016079
1308,2.728269618
1309,2.754969765
1310,3.538983188
1311,3.393346019
1312,3.126344544
1313,6.239339015
1314,5.435907303
1315,13.12676343
1316,10.20916549
1317,7.544005313
1318,6.223561655
1319,4.339987613
1320,3.171249338
1321,1.879933113
1322,1.689391151
1323,1.734295945
1324,1.719732228
1325,1.705168511
1326,3.941912686
1327,4.161582082
1328,2.719774116
1329,3.178531196
1330,5.151914825
1331,2.990416521
1332,4.309646536
1333,6.559740785
1334,4.969868365
1335,3.114208114
1336,2.820506491
1337,2.720987759
1338,4.346055828
1339,7.990625963
1340,7.016070579
1341,7.636242187
1342,4.108181787
1343,3.61908363
1344,2.623896314
1345,1.855660252
1346,2.018288423
1347,1.945469839
1348,1.957606269
1349,1.837455606
1350,2.497677435
1351,2.526804868
1352,2.520736653
1353,3.088721609
1354,4.15308658
1355,3.16032655
1356,4.071772495
1357,3.69797043
1358,3.22343599
1359,3.739234294
1360,3.846034884
1361,3.929776256
1362,7.761247423
1363,9.022222571
1364,11.55509565
1365,8.300104945
1366,7.891107231
1367,5.261142702
1368,3.606947199
1369,2.862983998
1370,3.05352596
1371,1.941828909
1372,1.927265193
1373,1.990374632
1374,3.02197124
1375,3.91157161
1376,3.270768069
1377,2.325340119
1378,2.212471314
1379,2.534086727
1380,2.79623363
1381,3.820548379
1382,2.284076255
1383,2.901820577
1384,2.905461506
1385,4.725926108
1386,5.289056492
1387,8.377778101
1388,6.946892924
1389,4.526888645
1390,4.990500297
1391,4.813308409
1392,3.495292037
1393,2.057125001
1394,1.828960104
1395,1.964888128
1396,1.986733703
1397,2.622682671
1398,4.298723748
1399,3.245281565
1400,2.468550001
1401,3.23921335
1402,4.195564088
1403,3.31445922
1404,2.648169175
1405,2.137225444
1406,2.206403098
1407,1.905419617
1408,2.377526771
1409,3.139694618
1410,6.435949192
1411,9.006445211
1412,5.854614162
1413,5.367943292
1414,4.980791153
1415,4.261100813
1416,3.137267332
1417,2.702783113
1418,2.602050739
1419,1.940615266
1420,1.87871947
1421,1.859301181
1422,2.671228394
1423,4.764762687
1424,7.062189015
1425,6.764846463
1426,5.741745357
1427,6.321866743
1428,7.324335918
1429,5.473530239
1430,7.211467113
1431,5.552417038
1432,9.272233043
1433,7.006361434
1434,10.1023649
1435,8.054949045
1436,6.574304502
1437,5.911655386
1438,3.882444176
1439,4.063276993
1440,3.313245577
1441,2.684578467
1442,2.593555237
1443,1.833814676
1444,1.912701476
1445,1.780414381
1446,1.950324411
1447,2.866624928
1448,4.52082043
1449,6.446871979
1450,7.034275225
1451,5.179828616
1452,7.105880166
1453,5.258715416
1454,4.951663719
1455,5.954132894
1456,7.43599108
1457,9.732203766
1458,11.24318939
1459,10.5671902
1460,7.172630534
1461,6.400753543
1462,5.496589457
1463,5.631303838
1464,2.73312419
1465,1.884787685
1466,3.187026698
1467,1.89449683
1468,2.543795871
1469,2.883615931
1470,3.659133851
1471,4.213768734
1472,3.435823527
1473,3.530487686
1474,2.984348305
1475,3.474660105
1476,4.088763498
1477,2.548650444
1478,2.984348305
1479,2.910316078
1480,2.927307081
1481,5.247792628
1482,6.377694325
1483,8.462733116
1484,9.767399415
1485,6.440803764
1486,4.086336211
1487,3.106926255
1488,3.072944249
1489,2.53530037
1490,1.737936874
1491,1.769491594
1492,1.746432375
1493,2.137225444
1494,2.723415046
1495,3.420046167
1496,3.19188127
1497,4.026867701
1498,4.508683999
1499,5.823059442
1500,4.877631492
1501,4.437079058
1502,5.124001035
1503,3.204017701
1504,4.927390858
1505,7.033061582
1506,8.41661468
1507,9.656957896
1508,9.445784002
1509,7.187194251
1510,4.986859368
1511,4.167650297
1512,1.89449683
1513,3.189453984
1514,2.815651919
1515,3.606947199
1516,1.917556048
1517,2.264657966
