Model Number,CEC Listing Date,year
CHSM5612M-190,,1900
CHSM5612M(BL)-195,,1900
CHSM5612M-195,,1900
CHSM5612M(BL)-200,,1900
CHSM5612M-200,,1900
CHSM5612M-205,,1900
CHSM5612M-210,,1900
CHSM6609M-215,,1900
CHSM6610P-215,,1900
CHSM6609M-220,,1900
CHSM6610M-220,,1900
CHSM6610P-220,,1900
CHSM6609M-225,,1900
CHSM6610M-225,,1900
CHSM6610P-225,,1900
CHSM6609M-230,,1900
CHSM6610M-230,,1900
CHSM6610P-230,,1900
CHSM6609M-235,,1900
CHSM6610M-235,,1900
CHSM6610P-235,,1900
CHSM6609M-240,,1900
CHSM6610M(BL)-240,,1900
CHSM6610M-240,,1900
CHSM6610P-240,,1900
CHSM6610M(BL)-245,,1900
CHSM6610M-245,,1900
CHSM6610P-245,,1900
CHSM6610M(BL)-250,,1900
CHSM6610M-250,,1900
CHSM6610P/HV-250,,1900
CHSM6610P-250,,1900
CHSM6610M(BL)-255,,1900
CHSM6610M-255,,1900
CHSM6610P/HV-255,,1900
CHSM6610P-255,,1900
CHSM6610M(BL)-260,,1900
CHSM6610M-260,,1900
CHSM6610P/HV-260,,1900
CHSM6610P-260,,1900
CHSM6612P-260,,1900
CHSM6610M-265,,1900
CHSM6610P/HV-265,,1900
CHSM6610P-265,,1900
CHSM6611P-265,,1900
CHSM6612P-265,,1900
CHSM60P-HC-270,01.05.2019,2019
CHSM6610M-270,,1900
CHSM6610P/HV-270,,1900
CHSM6610P-270,,1900
CHSM6611P-270,,1900
CHSM6612P-270,,1900
CHSM60P-HC-275,01.05.2019,2019
CHSM6610M/HV-275,,1900
CHSM6610M-275,,1900
CHSM6610P/HV-275,,1900
CHSM6610P-275,,1900
CHSM6611P-275,,1900
CHSM6612P-275,,1900
CHSM60P-HC-280,01.05.2019,2019
CHSM6610M(BL)-280,,1900
CHSM6610M/HV-280,,1900
CHSM6610M-280,,1900
CHSM6610P/HV-280,,1900
CHSM6610P-280,,1900
CHSM6611P-280,,1900
CHSM6612P-280,,1900
CHSM60M-HC-285,01.05.2019,2019
CHSM60P-HC-285,01.05.2019,2019
CHSM6610M(BL)-285,,1900
CHSM6610M/HV-285,,1900
CHSM6610M-285,,1900
CHSM6610P/HV-285,,1900
CHSM6610P-285,,1900
CHSM6611P-285,,1900
CHSM6612P-285,,1900
CHSM60M-HC-290,01.05.2019,2019
CHSM60P-HC-290,01.05.2019,2019
CHSM6610M(BL)-290,,1900
CHSM6610M/HV-290,,1900
CHSM6610M-290,,1900
CHSM6610P/HV-290,,1900
CHSM6610P-290,,1900
CHSM6612P-290,,1900
CHSM60M-HC-295,01.05.2019,2019
CHSM60P-HC-295,01.05.2019,2019
CHSM6610M(BL)-295,,1900
CHSM6610M/HV-295,,1900
CHSM6610M-295,,1900
CHSM6610P/HV-295,,1900
CHSM6610P-295,,1900
CHSM6612M-295,,1900
CHSM6612P-295,,1900
CHSM60M-HC-300,01.05.2019,2019
CHSM60P-HC-300,01.05.2019,2019
CHSM6610M/HV-300,,1900
CHSM6612M-300,,1900
CHSM6612P-300,,1900
CHSM60M-HC-305,01.05.2019,2019
CHSM60P-HC-305,01.05.2019,2019
CHSM6610M/HV-305,,1900
CHSM6612M-305,,1900
CHSM6612P-305,,1900
CHSM60M-HC-310,01.05.2019,2019
CHSM60P-HC-310,01.05.2019,2019
CHSM6612M-310,,1900
CHSM6612P/HV-310,,1900
CHSM6612P-310,,1900
CHSM60M-HC-315,01.05.2019,2019
CHSM6612M-315,,1900
CHSM6612P/HV-315,,1900
CHSM6612P-315,,1900
CHSM60M-HC-320,01.05.2019,2019
CHSM6612M-320,,1900
CHSM6612P/HV-320,,1900
CHSM6612P-320,,1900
CHSM60M-HC-325,01.05.2019,2019
CHSM6612M-325,,1900
CHSM6612P/HV-325,,1900
CHSM6612P-325,,1900
CHSM72P-HC-325,01.05.2019,2019
CHSM60M-HC-330,01.05.2019,2019
CHSM6612M(BL)-330,,1900
CHSM6612M/HV-330,,1900
CHSM6612M-330,,1900
CHSM6612P/HV-330,,1900
CHSM6612P-330,,1900
CHSM72P-HC-330,01.05.2019,2019
CHSM60M-HC-335,12.10.2020,2020
CHSM6612M(BL)-335,,1900
CHSM6612M/HV-335,,1900
CHSM6612M-335,,1900
CHSM6612P/HV-335,,1900
CHSM6612P-335,,1900
CHSM72P-HC-335,01.05.2019,2019
CHSM60M-HC-340,12.10.2020,2020
CHSM6612M(BL)-340,,1900
CHSM6612M/HV-340,,1900
CHSM6612M-340,,1900
CHSM6612P/HV-340,,1900
CHSM6612P-340,,1900
